,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear SVC,0.8145586835305318,0.8101779745847543,0.7753246753246753,0.8463157894736841,0.7892475658855845,experiment_nonefilter_for_feature_reduction
Ridge Classifier,0.8099143206854345,0.8071053532028365,0.7675666438824335,0.8442105263157895,0.7826866492573321,experiment_nonefilter_for_feature_reduction
MLP Classifier,0.8005371957024344,0.7924202870564462,0.7727614490772385,0.8231578947368421,0.7750743407131988,experiment_nonefilter_for_feature_reduction
Linear Discriminant Analysis,0.7994220046239631,0.7835338862568919,0.7700615174299384,0.8231578947368421,0.7734598235325192,experiment_nonefilter_for_feature_reduction
Logistic Regression,0.799422004623963,0.8015449691318756,0.7466848940533151,0.8421052631578947,0.7676150128505979,experiment_nonefilter_for_feature_reduction
NuSVC,0.7994016047871617,0.8117870960024026,0.7309637730690363,0.8547368421052631,0.7620037109069367,experiment_nonefilter_for_feature_reduction
Passive Aggressive,0.7982388140894873,0.7525325749548113,0.8559466848940532,0.7515789473684211,0.7916269241956615,experiment_nonefilter_for_feature_reduction
SGD Classifier,0.7866041071671426,0.8106617237538289,0.7258714969241284,0.8357894736842105,0.7502353525665176,experiment_nonefilter_for_feature_reduction
SVC,0.783108935128519,0.7961767030188083,0.6996924128503077,0.8505263157894737,0.7383615014561761,experiment_nonefilter_for_feature_reduction
XGBoost,0.778376172990616,0.7720168867341861,0.7360902255639097,0.8126315789473685,0.7453408029878619,experiment_nonefilter_for_feature_reduction
Extra Trees,0.767951856385149,0.7872631714317602,0.6840396445659603,0.8357894736842105,0.7202832710921703,experiment_nonefilter_for_feature_reduction
Gradient Boosting,0.7585271317829456,0.7485747418688318,0.7255297334244702,0.7852631578947369,0.7301693063909761,experiment_nonefilter_for_feature_reduction
Perceptron,0.7551951584387325,0.7274291725168289,0.7820574162679426,0.7326315789473684,0.7310247921501007,experiment_nonefilter_for_feature_reduction
AdaBoost,0.7527267781857747,0.737453969591956,0.7203007518796991,0.7789473684210526,0.7232680578478268,experiment_nonefilter_for_feature_reduction
Random Forest,0.7410988712090304,0.7429419601579974,0.6787423103212576,0.791578947368421,0.6982984322508399,experiment_nonefilter_for_feature_reduction
Voting,0.7365225078199374,0.8194244015549342,0.5350991114149009,0.8989473684210527,0.6393832771826847,experiment_nonefilter_for_feature_reduction
Bagging,0.7352713178294574,0.7418164528969482,0.6394053315105948,0.8126315789473685,0.6810786919199179,experiment_nonefilter_for_feature_reduction
K-Neighbors,0.7294981640146879,0.7193930508594237,0.6818523581681476,0.7684210526315789,0.687758346581876,experiment_nonefilter_for_feature_reduction
Decision Tree,0.6957024343805249,0.6651754490970176,0.6445659603554341,0.7368421052631579,0.6523598797321754,experiment_nonefilter_for_feature_reduction
Bernoulli NB,0.6829253365973071,0.7120064225637998,0.49354066985645934,0.8357894736842105,0.5780960183424173,experiment_nonefilter_for_feature_reduction
Quadratic Discriminant Analysis,0.6723786209710323,0.6843769390761414,0.6242652084757347,0.711578947368421,0.6073761994370581,experiment_nonefilter_for_feature_reduction
Gaussian NB,0.661859105127159,0.6546529977312038,0.5220437457279562,0.7747368421052632,0.5764898649527453,experiment_nonefilter_for_feature_reduction
Ridge Classifier,0.7842241262069903,0.7815796570379295,0.7440874914559126,0.8168421052631579,0.7537103191241556,experiment_wavelet_butter
Linear SVC,0.7795729634162927,0.7703227097116995,0.7467190704032809,0.8063157894736841,0.7506883793765668,experiment_wavelet_butter
MLP Classifier,0.7784033727730177,0.7823070522911819,0.7074504442925496,0.8357894736842105,0.7369227303588273,experiment_wavelet_butter
NuSVC,0.7726166190670475,0.7616070103951877,0.7232740943267258,0.8126315789473685,0.7350739524060341,experiment_wavelet_butter
SVC,0.767938256493948,0.7841357655502392,0.6788448393711551,0.8400000000000001,0.7202196918735535,experiment_wavelet_butter
Linear Discriminant Analysis,0.7655854753161975,0.7363992038620935,0.7571428571428571,0.7726315789473684,0.7399211466701755,experiment_wavelet_butter
XGBoost,0.7644634842921256,0.746983189117052,0.7204374572795624,0.8000000000000002,0.7298619419812918,experiment_wavelet_butter
Logistic Regression,0.7632666938664491,0.7606539198294923,0.6996924128503076,0.8147368421052631,0.723105763156308,experiment_wavelet_butter
Random Forest,0.7574731402148783,0.7665047127813086,0.6684210526315789,0.8294736842105263,0.7084324454452602,experiment_wavelet_butter
Extra Trees,0.7516795865633075,0.7447728995482049,0.6789815447710185,0.8105263157894737,0.704339999026906,experiment_wavelet_butter
Gradient Boosting,0.7423024615803074,0.7180697043197044,0.6916609706083391,0.7831578947368422,0.7036020606115263,experiment_wavelet_butter
AdaBoost,0.7224670202638379,0.6932727925709302,0.6942925495557075,0.7452631578947368,0.6900158390927863,experiment_wavelet_butter
Voting,0.7213994288045695,0.7906641451117975,0.5170198222829802,0.8863157894736842,0.6215017527131732,experiment_wavelet_butter
Bagging,0.7189854481164151,0.7289290480892958,0.6029391660970609,0.8126315789473685,0.6546411483253588,experiment_wavelet_butter
Perceptron,0.7179518563851489,0.6657582653792773,0.8113807245386193,0.6421052631578947,0.7183981880942059,experiment_wavelet_butter
SGD Classifier,0.6979804161566707,0.7793385358602751,0.6748120300751879,0.7178947368421051,0.6366345043300605,experiment_wavelet_butter
K-Neighbors,0.6968992248062015,0.6784328452081819,0.6293916609706084,0.751578947368421,0.6475077132302196,experiment_wavelet_butter
Quadratic Discriminant Analysis,0.6852169182646538,0.67803241614684,0.5926862611073137,0.76,0.6175414802142003,experiment_wavelet_butter
Gaussian NB,0.6478852169182646,0.6337372510955827,0.5142857142857142,0.7557894736842106,0.5645845643852332,experiment_wavelet_butter
Decision Tree,0.639779681762546,0.5949226052202625,0.6161654135338346,0.6589473684210526,0.6041355796267578,experiment_wavelet_butter
Passive Aggressive,0.6109411124711002,0.5854495487363011,0.8159261790840737,0.4442105263157895,0.6469603584794597,experiment_wavelet_butter
Bernoulli NB,0.5583095335237317,0.543599878382487,0.09401913875598085,0.9326315789473684,0.15829687811865262,experiment_wavelet_butter

,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear SVC,0.7982728138174895,0.8000097998170288,0.7414559125085441,0.8442105263157895,0.7664196543764417,experiment_nonefilter_for_feature_reduction
Ridge Classifier,0.7959540323677411,0.804097657244716,0.7258031442241968,0.8526315789473685,0.759991220141596,experiment_nonefilter_for_feature_reduction
Linear Discriminant Analysis,0.7959336325309397,0.798845637930145,0.7361927546138073,0.8442105263157895,0.7630784804200309,experiment_nonefilter_for_feature_reduction
NuSVC,0.7912280701754385,0.7907333060518489,0.7413875598086124,0.8315789473684211,0.7604474447758953,experiment_nonefilter_for_feature_reduction
MLP Classifier,0.7795729634162927,0.775349581871321,0.7335611756664389,0.8168421052631578,0.7489759646487874,experiment_nonefilter_for_feature_reduction
XGBoost,0.7760981912144702,0.7761151410740279,0.7257689678742311,0.8168421052631579,0.7430677436908967,experiment_nonefilter_for_feature_reduction
Logistic Regression,0.7749762001903985,0.7817817817817818,0.6918318523581682,0.8421052631578949,0.7316980348451189,experiment_nonefilter_for_feature_reduction
SVC,0.7632666938664491,0.7808957219251337,0.676144907723855,0.8336842105263157,0.718755788833592,experiment_nonefilter_for_feature_reduction
Gradient Boosting,0.7597239222086224,0.745817361890931,0.7282296650717702,0.7852631578947369,0.7301038819113588,experiment_nonefilter_for_feature_reduction
Random Forest,0.7562355501155991,0.7626231818144231,0.6942583732057417,0.8063157894736843,0.7169729765506025,experiment_nonefilter_for_feature_reduction
SGD Classifier,0.7505371957024344,0.7101768583826626,0.8355434039644566,0.6821052631578948,0.7555270126235794,experiment_nonefilter_for_feature_reduction
AdaBoost,0.7480348157214742,0.73469265497336,0.7150717703349283,0.7747368421052633,0.7211998153895963,experiment_nonefilter_for_feature_reduction
Perceptron,0.7469876240990072,0.7267542755347633,0.7380041011619958,0.7536842105263157,0.713097193993706,experiment_nonefilter_for_feature_reduction
Extra Trees,0.7469332245342037,0.7618377720504009,0.6736158578263842,0.8063157894736841,0.7046107233085028,experiment_nonefilter_for_feature_reduction
Voting,0.7306337549299606,0.8151400836646738,0.5403622693096378,0.8842105263157896,0.6354462638810465,experiment_nonefilter_for_feature_reduction
Quadratic Discriminant Analysis,0.7224670202638379,0.7367914465231287,0.6162679425837322,0.8084210526315789,0.661155504447305,experiment_nonefilter_for_feature_reduction
Bagging,0.7178090575275398,0.7167278240551346,0.6290157211209844,0.7894736842105263,0.66267020936635,experiment_nonefilter_for_feature_reduction
K-Neighbors,0.685108119135047,0.6802723517617134,0.5950786056049215,0.7578947368421052,0.6280783487592394,experiment_nonefilter_for_feature_reduction
Passive Aggressive,0.6783965728274174,0.7465292429287157,0.6597744360902256,0.6926315789473684,0.632748441650628,experiment_nonefilter_for_feature_reduction
Decision Tree,0.6642322861417108,0.6329165958987288,0.608133971291866,0.7094736842105263,0.6163674556692647,experiment_nonefilter_for_feature_reduction
Gaussian NB,0.6606759145926833,0.6693051093051093,0.49593301435406695,0.7936842105263159,0.5637420809873217,experiment_nonefilter_for_feature_reduction
Bernoulli NB,0.5501019991840066,0.5081680672268907,0.1200956937799043,0.896842105263158,0.1917619246280072,experiment_nonefilter_for_feature_reduction
Linear Discriminant Analysis,0.7493064055487556,0.7368546994695605,0.6996924128503077,0.7894736842105263,0.7120157232872039,experiment_wavelet_butter
Ridge Classifier,0.7458316333469333,0.7413654593320735,0.6683868762816132,0.8084210526315789,0.6983739059101018,experiment_wavelet_butter
Linear SVC,0.7446484428124576,0.736339944694375,0.6735475051264526,0.8021052631578947,0.6997000445974455,experiment_wavelet_butter
NuSVC,0.7423092615259078,0.724745435274847,0.7022898154477103,0.7747368421052632,0.7068924495724487,experiment_wavelet_butter
SVC,0.7388072895416837,0.7548176675940125,0.6344155844155844,0.8231578947368421,0.6831200078857211,experiment_wavelet_butter
MLP Classifier,0.7365021079831362,0.7336720737133448,0.6422077922077922,0.8126315789473685,0.6816993320815958,experiment_wavelet_butter
Logistic Regression,0.7271861825105399,0.7216906590245198,0.6422077922077922,0.7957894736842105,0.6764410561423883,experiment_wavelet_butter
Extra Trees,0.7237046103631171,0.7190864830196971,0.6475393028024607,0.7852631578947369,0.6744630249846078,experiment_wavelet_butter
Bagging,0.7143886848905209,0.7121899668958493,0.6109022556390977,0.7978947368421052,0.6539227977789495,experiment_wavelet_butter
Random Forest,0.7131646946824425,0.7105987537366849,0.6291866028708134,0.7810526315789474,0.6618196037069332,experiment_wavelet_butter
Voting,0.7120291037671699,0.7747899677841539,0.5011961722488039,0.8821052631578947,0.6018286907469139,experiment_wavelet_butter
Gradient Boosting,0.7119815041479668,0.6856301283855464,0.6788448393711553,0.7389473684210527,0.6763634268534451,experiment_wavelet_butter
XGBoost,0.708499932000544,0.6766776823088787,0.6683185235816815,0.7410526315789474,0.6664748142256913,experiment_wavelet_butter
Quadratic Discriminant Analysis,0.7014823881408949,0.6861558687982285,0.6450102529049897,0.7473684210526316,0.657699205700949,experiment_wavelet_butter
AdaBoost,0.7003467972256222,0.671293636200387,0.6577922077922078,0.7347368421052631,0.6615229802415116,experiment_wavelet_butter
SGD Classifier,0.6981504147966816,0.6969912460538359,0.6706425153793575,0.72,0.6635519922265619,experiment_wavelet_butter
K-Neighbors,0.6758873929008568,0.658177767821585,0.5899863294600137,0.7452631578947367,0.6179606761980411,experiment_wavelet_butter
Perceptron,0.6574255405956753,0.6236956612570825,0.7305878332194121,0.5978947368421054,0.6529424035065067,experiment_wavelet_butter
Gaussian NB,0.6560383516931865,0.6651933125739603,0.49350649350649356,0.7873684210526315,0.5616374163368383,experiment_wavelet_butter
Decision Tree,0.6140554875560995,0.5689989680082559,0.5716336295283664,0.6484210526315789,0.5660545781773403,experiment_wavelet_butter
Passive Aggressive,0.6062015503875969,0.7069377910844977,0.578468899521531,0.6273684210526316,0.5288106103986119,experiment_wavelet_butter
Bernoulli NB,0.5583095335237317,0.5473960821786908,0.0888585099111415,0.9368421052631579,0.1497812608189343,experiment_wavelet_butter
