,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear SVC,0.8145586835305318,0.8101779745847543,0.7753246753246753,0.8463157894736841,0.7892475658855845,experiment_nonefilter_for_feature_reduction
Ridge Classifier,0.8099143206854345,0.8071053532028365,0.7675666438824335,0.8442105263157895,0.7826866492573321,experiment_nonefilter_for_feature_reduction
MLP Classifier,0.8005439956480348,0.7910747110253131,0.7727614490772385,0.8231578947368421,0.775188972770098,experiment_nonefilter_for_feature_reduction
Linear Discriminant Analysis,0.7994220046239631,0.7835338862568919,0.7700615174299384,0.8231578947368421,0.7734598235325192,experiment_nonefilter_for_feature_reduction
Logistic Regression,0.799422004623963,0.8015449691318756,0.7466848940533151,0.8421052631578947,0.7676150128505979,experiment_nonefilter_for_feature_reduction
NuSVC,0.7994016047871617,0.8117870960024026,0.7309637730690363,0.8547368421052631,0.7620037109069367,experiment_nonefilter_for_feature_reduction
SVC,0.783108935128519,0.7961767030188083,0.6996924128503077,0.8505263157894737,0.7383615014561761,experiment_nonefilter_for_feature_reduction
XGBoost,0.778376172990616,0.7720168867341861,0.7360902255639097,0.8126315789473685,0.7453408029878619,experiment_nonefilter_for_feature_reduction
SGD Classifier,0.7737250101999185,0.7258788288890186,0.8485304169514695,0.7136842105263157,0.7736351060193044,experiment_nonefilter_for_feature_reduction
Extra Trees,0.7714606283149735,0.7887435214195777,0.6867737525632263,0.8400000000000001,0.7230828070577614,experiment_nonefilter_for_feature_reduction
Gradient Boosting,0.7596899224806201,0.7489957945004108,0.7281271360218728,0.7852631578947369,0.7317000941446741,experiment_nonefilter_for_feature_reduction
Random Forest,0.7574663402692778,0.7628456267296846,0.691866028708134,0.8105263157894737,0.715209575042784,experiment_nonefilter_for_feature_reduction
Perceptron,0.7551951584387325,0.7274291725168289,0.7820574162679426,0.7326315789473684,0.7310247921501007,experiment_nonefilter_for_feature_reduction
AdaBoost,0.7527267781857747,0.737453969591956,0.7203007518796991,0.7789473684210526,0.7232680578478268,experiment_nonefilter_for_feature_reduction
Voting,0.7434992520059839,0.8196538608965401,0.5507177033492823,0.8989473684210527,0.6536678508082868,experiment_nonefilter_for_feature_reduction
Passive Aggressive,0.741126070991432,0.7470303096428197,0.7465823650034176,0.7368421052631579,0.7150961890713935,experiment_nonefilter_for_feature_reduction
K-Neighbors,0.7294981640146879,0.7193930508594237,0.6818523581681476,0.7684210526315789,0.687758346581876,experiment_nonefilter_for_feature_reduction
Bagging,0.7270977832177343,0.7219877042747893,0.649794941900205,0.7894736842105263,0.6772198227063878,experiment_nonefilter_for_feature_reduction
Bernoulli NB,0.6829253365973071,0.7120064225637998,0.49354066985645934,0.8357894736842105,0.5780960183424173,experiment_nonefilter_for_feature_reduction
Decision Tree,0.6828913368693051,0.6454868283136579,0.6444634313055365,0.7136842105263158,0.6422149038018963,experiment_nonefilter_for_feature_reduction
Quadratic Discriminant Analysis,0.6723786209710323,0.6843769390761414,0.6242652084757347,0.711578947368421,0.6073761994370581,experiment_nonefilter_for_feature_reduction
Gaussian NB,0.661859105127159,0.6546529977312038,0.5220437457279562,0.7747368421052632,0.5764898649527453,experiment_nonefilter_for_feature_reduction
Ridge Classifier,0.7842241262069903,0.7815796570379295,0.7440874914559126,0.8168421052631579,0.7537103191241556,experiment_wavelet_butter
MLP Classifier,0.7795933632530939,0.7883919697873186,0.7075871496924129,0.8378947368421052,0.7338086676947903,experiment_wavelet_butter
Linear SVC,0.7795729634162927,0.7703227097116995,0.7467190704032809,0.8063157894736841,0.7506883793765668,experiment_wavelet_butter
NuSVC,0.7726166190670475,0.7616070103951877,0.7232740943267258,0.8126315789473685,0.7350739524060341,experiment_wavelet_butter
SVC,0.767938256493948,0.7841357655502392,0.6788448393711551,0.8400000000000001,0.7202196918735535,experiment_wavelet_butter
Linear Discriminant Analysis,0.7655854753161975,0.7363992038620935,0.7571428571428571,0.7726315789473684,0.7399211466701755,experiment_wavelet_butter
XGBoost,0.7644634842921256,0.746983189117052,0.7204374572795624,0.8000000000000002,0.7298619419812918,experiment_wavelet_butter
Logistic Regression,0.7632666938664491,0.7606539198294923,0.6996924128503076,0.8147368421052631,0.723105763156308,experiment_wavelet_butter
SGD Classifier,0.7456956344349245,0.7877055284968526,0.6673274094326725,0.8084210526315789,0.6682587838159717,experiment_wavelet_butter
Extra Trees,0.7446620427036583,0.7488780515420979,0.6684894053315107,0.8063157894736841,0.697950171389812,experiment_wavelet_butter
Gradient Boosting,0.7423024615803074,0.7174286786786788,0.6942925495557075,0.7810526315789474,0.7045344615439273,experiment_wavelet_butter
Random Forest,0.7341493268053856,0.7345785128302053,0.6579289131920711,0.7957894736842105,0.6893257984390428,experiment_wavelet_butter
AdaBoost,0.7224670202638379,0.6932727925709302,0.6942925495557075,0.7452631578947368,0.6900158390927863,experiment_wavelet_butter
Perceptron,0.7179518563851489,0.6657582653792773,0.8113807245386193,0.6421052631578947,0.7183981880942059,experiment_wavelet_butter
Voting,0.7132530939752482,0.7796827861936244,0.5065276828434723,0.8800000000000001,0.609883632178394,experiment_wavelet_butter
Bagging,0.7050183598531212,0.703282682080636,0.6136363636363636,0.7789473684210526,0.6504665406356241,experiment_wavelet_butter
K-Neighbors,0.6968992248062015,0.6784328452081819,0.6293916609706084,0.751578947368421,0.6475077132302196,experiment_wavelet_butter
Quadratic Discriminant Analysis,0.6852169182646538,0.67803241614684,0.5926862611073137,0.76,0.6175414802142003,experiment_wavelet_butter
Passive Aggressive,0.6620223038215693,0.775584797947099,0.544771018455229,0.7557894736842105,0.5820447079927106,experiment_wavelet_butter
Gaussian NB,0.6478852169182646,0.6337372510955827,0.5142857142857142,0.7557894736842106,0.5645845643852332,experiment_wavelet_butter
Decision Tree,0.6409288725690194,0.5956185897747066,0.6186602870813397,0.6589473684210527,0.6064546748249413,experiment_wavelet_butter
Bernoulli NB,0.5583095335237317,0.543599878382487,0.09401913875598085,0.9326315789473684,0.15829687811865262,experiment_wavelet_butter

,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear Discriminant Analysis,0.780844553243574,0.7771813467265497,0.7206425153793574,0.8294736842105264,0.7455140007048306,experiment_nonefilter_for_feature_reduction
Ridge Classifier,0.7726370189038488,0.771524675887196,0.7047846889952153,0.8273684210526315,0.7345388114071891,experiment_nonefilter_for_feature_reduction
XGBoost,0.7702570379436965,0.7579162493972775,0.7387218045112781,0.7957894736842105,0.742365385991439,experiment_nonefilter_for_feature_reduction
Linear SVC,0.7609887120903033,0.7514572188628897,0.7048872180451127,0.8063157894736841,0.7246523909772817,experiment_nonefilter_for_feature_reduction
NuSVC,0.7597987216102271,0.7521345609998336,0.7152084757347915,0.7957894736842106,0.7274577607208018,experiment_nonefilter_for_feature_reduction
MLP Classifier,0.7574595403236775,0.7367006998370242,0.7204374572795627,0.7873684210526315,0.7259937751050283,experiment_nonefilter_for_feature_reduction
Extra Trees,0.7562423500611996,0.7603497353331494,0.6995557074504444,0.8021052631578949,0.7205453539928097,experiment_nonefilter_for_feature_reduction
Gradient Boosting,0.7527471780225758,0.7418035386166661,0.7099453178400547,0.7873684210526315,0.7199305960249047,experiment_nonefilter_for_feature_reduction
Logistic Regression,0.7469740242078065,0.747247438489889,0.673444976076555,0.8063157894736841,0.7050985278807298,experiment_nonefilter_for_feature_reduction
AdaBoost,0.7433972528219774,0.7216510859159683,0.7308270676691728,0.7536842105263158,0.7216468853412005,experiment_nonefilter_for_feature_reduction
SVC,0.7411192710458316,0.7533186416740344,0.6551948051948052,0.8105263157894737,0.6947600012928958,experiment_nonefilter_for_feature_reduction
Bagging,0.7387596899224806,0.7309561042254227,0.6759056732740942,0.7894736842105263,0.6950431331953071,experiment_nonefilter_for_feature_reduction
Random Forest,0.7375832993336053,0.7301961407584001,0.6838345864661655,0.7810526315789474,0.698688396371118,experiment_nonefilter_for_feature_reduction
Voting,0.7247994016047872,0.807827067669173,0.5298359535201641,0.8821052631578947,0.6257139719200043,experiment_nonefilter_for_feature_reduction
Quadratic Discriminant Analysis,0.7014551883584931,0.711122778041551,0.5926520847573479,0.7894736842105263,0.6361069559142027,experiment_nonefilter_for_feature_reduction
Passive Aggressive,0.699265605875153,0.6974759253550241,0.7244702665755298,0.6778947368421053,0.6687686070077762,experiment_nonefilter_for_feature_reduction
K-Neighbors,0.6827757377940976,0.6700936586906736,0.602904989747095,0.7473684210526317,0.6287488530366311,experiment_nonefilter_for_feature_reduction
SGD Classifier,0.6815245478036176,0.6846967832963522,0.7502734107997266,0.6273684210526315,0.6805498221077169,experiment_nonefilter_for_feature_reduction
Decision Tree,0.6758669930640554,0.642647342995169,0.6342788790157211,0.7094736842105263,0.6358680203335237,experiment_nonefilter_for_feature_reduction
Gaussian NB,0.6548823609411125,0.6708391357347715,0.4883458646616541,0.7894736842105263,0.5567768121675547,experiment_nonefilter_for_feature_reduction
Perceptron,0.6433360533115735,0.6332287603129321,0.7846206425153793,0.528421052631579,0.6414753679946378,experiment_nonefilter_for_feature_reduction
Bernoulli NB,0.5524275805793554,0.5069010989010988,0.13308270676691727,0.8905263157894737,0.20784313725490194,experiment_nonefilter_for_feature_reduction
NuSVC,0.7376240990072078,0.7180604847925149,0.6969924812030076,0.7705263157894736,0.7028808798131361,experiment_wavelet_butter
SVC,0.7353189174486604,0.7570998732967813,0.624025974025974,0.8252631578947367,0.6778573232788403,experiment_wavelet_butter
Random Forest,0.7236910104719163,0.7212219037001646,0.6476076555023924,0.7852631578947369,0.675728642064477,experiment_wavelet_butter
Ridge Classifier,0.7236910104719162,0.7127122877122878,0.6421394395078606,0.7894736842105263,0.6730737853715982,experiment_wavelet_butter
Linear SVC,0.7213994288045695,0.7076068840081053,0.6422761449077238,0.7852631578947369,0.6704072879305076,experiment_wavelet_butter
Extra Trees,0.7189922480620154,0.7123939060376505,0.6475734791524266,0.7768421052631578,0.6712692128517406,experiment_wavelet_butter
MLP Classifier,0.7155718754249966,0.6877705371526547,0.6603896103896104,0.76,0.6718627897991001,experiment_wavelet_butter
Logistic Regression,0.7144022847817219,0.7063928612936692,0.6239917976760082,0.7873684210526316,0.6604936630545263,experiment_wavelet_butter
Linear Discriminant Analysis,0.7131918944648443,0.6971456051633329,0.6396787423103213,0.7726315789473683,0.66408034340262,experiment_wavelet_butter
Quadratic Discriminant Analysis,0.7120155038759689,0.7056783610057038,0.6372522214627477,0.7726315789473686,0.6631162608673274,experiment_wavelet_butter
Gradient Boosting,0.7003671970624235,0.6739555579744998,0.6632604237867396,0.7305263157894737,0.6619217984602981,experiment_wavelet_butter
Voting,0.6968924248606011,0.7336057941621685,0.5117224880382775,0.8463157894736841,0.5983450103967238,experiment_wavelet_butter
XGBoost,0.6886780905752754,0.6591092600736391,0.6421736158578264,0.7263157894736842,0.6462839267981577,experiment_wavelet_butter
Bagging,0.6840337277301781,0.6784179312750741,0.5794941900205057,0.7684210526315789,0.6171263371991349,experiment_wavelet_butter
AdaBoost,0.6758873929008569,0.6405879652427133,0.6396103896103896,0.7052631578947368,0.636726807685142,experiment_wavelet_butter
K-Neighbors,0.6525635794913641,0.6208214143305422,0.5794941900205058,0.7115789473684211,0.5951564633656818,experiment_wavelet_butter
Passive Aggressive,0.6516047871617028,0.6651906406030779,0.6057074504442925,0.6884210526315789,0.5882774085958102,experiment_wavelet_butter
Gaussian NB,0.6513871889024887,0.6569609736481237,0.5041011619958987,0.7705263157894737,0.5637911042606418,experiment_wavelet_butter
Decision Tree,0.637420100639195,0.5936864339231628,0.6187286397812712,0.6526315789473683,0.603939042862461,experiment_wavelet_butter
SGD Classifier,0.6106691146470828,0.7246318702708154,0.5095352016404648,0.6926315789473684,0.47628330939028374,experiment_wavelet_butter
Perceptron,0.5814905480756154,0.6167671122622724,0.7145933014354067,0.47368421052631576,0.5739635275119146,experiment_wavelet_butter
Bernoulli NB,0.5617911056711546,0.5596403596403596,0.0784688995215311,0.951578947368421,0.1366045498894144,experiment_wavelet_butter
