,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
SVC,0.7202434380524956,0.7637396381689132,0.543028024606972,0.8631578947368421,0.6293392794833385,experiment_nonefilter_for_feature_reduction
Logistic Regression,0.7167618659050727,0.7355738111937684,0.5692071086807929,0.8357894736842105,0.6364724758496788,experiment_nonefilter_for_feature_reduction
MLP Classifier,0.7155990752073984,0.7239914760641384,0.5849624060150376,0.8210526315789473,0.6427241557744894,experiment_nonefilter_for_feature_reduction
Ridge Classifier,0.7109479124167006,0.7247566543390965,0.5613807245386193,0.8315789473684211,0.6289511948631137,experiment_nonefilter_for_feature_reduction
Linear SVC,0.7074459404324764,0.716006932039078,0.5666438824333561,0.8210526315789473,0.6278629484562988,experiment_nonefilter_for_feature_reduction
Linear Discriminant Analysis,0.7074119407044744,0.71492094664522,0.5717703349282297,0.8168421052631579,0.6292378210025268,experiment_nonefilter_for_feature_reduction
AdaBoost,0.692282061743506,0.6610190383129283,0.6292549555707451,0.743157894736842,0.6421039175265066,experiment_nonefilter_for_feature_reduction
NuSVC,0.689983680130559,0.6814642862365325,0.5586807928913192,0.7957894736842105,0.607670372580354,experiment_nonefilter_for_feature_reduction
K-Neighbors,0.6806201550387596,0.6674046277517879,0.5665755297334245,0.7726315789473683,0.6078733031674208,experiment_nonefilter_for_feature_reduction
Gradient Boosting,0.6782741738066095,0.6499085673357541,0.6058441558441559,0.7368421052631579,0.6236978092150507,experiment_nonefilter_for_feature_reduction
Extra Trees,0.6747450020399837,0.6503572456334928,0.5795967190704032,0.751578947368421,0.6101478510523826,experiment_nonefilter_for_feature_reduction
Bagging,0.6747246022031823,0.6647166802457968,0.5454545454545455,0.7789473684210526,0.5966737231976195,experiment_nonefilter_for_feature_reduction
Random Forest,0.6723786209710323,0.6535516397943393,0.5691387559808614,0.7557894736842105,0.6047463586838732,experiment_nonefilter_for_feature_reduction
XGBoost,0.6666054671562629,0.6323507953533507,0.6004442925495557,0.72,0.6145731144628639,experiment_nonefilter_for_feature_reduction
Voting,0.6607303141574867,0.6845627847098436,0.43844839371155153,0.8400000000000001,0.5319485820345797,experiment_nonefilter_for_feature_reduction
SGD Classifier,0.6248062015503877,0.7183178414875699,0.48776486671223507,0.7347368421052631,0.4959194091452156,experiment_nonefilter_for_feature_reduction
Decision Tree,0.6211546307629539,0.5781131393805993,0.569377990430622,0.6631578947368422,0.5717285482438403,experiment_nonefilter_for_feature_reduction
Gaussian NB,0.6049095607235142,0.5841371753652456,0.562816131237184,0.6378947368421052,0.5278701011719206,experiment_nonefilter_for_feature_reduction
Perceptron,0.5735822113423092,0.6877145528618179,0.5730006835269992,0.5726315789473684,0.4750889270947729,experiment_nonefilter_for_feature_reduction
Bernoulli NB,0.5536107711138311,0.5081313131313132,0.054750512645249494,0.9557894736842105,0.09833942973477856,experiment_nonefilter_for_feature_reduction
