,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear SVC,0.8145586835305318,0.8101779745847543,0.7753246753246753,0.8463157894736841,0.7892475658855845,experiment_wavelet_none_for_reduction
Ridge Classifier,0.8099143206854345,0.8071053532028365,0.7675666438824335,0.8442105263157895,0.7826866492573321,experiment_wavelet_none_for_reduction
MLP Classifier,0.8087039303685571,0.8005861105861106,0.7779220779220779,0.8336842105263157,0.7840502778808606,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.7994220046239631,0.7835338862568919,0.7700615174299384,0.8231578947368421,0.7734598235325192,experiment_wavelet_none_for_reduction
Logistic Regression,0.799422004623963,0.8015449691318756,0.7466848940533151,0.8421052631578947,0.7676150128505979,experiment_wavelet_none_for_reduction
NuSVC,0.7994016047871617,0.8117870960024026,0.7309637730690363,0.8547368421052631,0.7620037109069367,experiment_wavelet_none_for_reduction
SGD Classifier,0.7842581259349924,0.834886144576067,0.6521872863978129,0.8905263157894737,0.7253213203599422,experiment_wavelet_none_for_reduction
SVC,0.783108935128519,0.7961767030188083,0.6996924128503077,0.8505263157894737,0.7383615014561761,experiment_wavelet_none_for_reduction
XGBoost,0.778376172990616,0.7720168867341861,0.7360902255639097,0.8126315789473685,0.7453408029878619,experiment_wavelet_none_for_reduction
Passive Aggressive,0.7702842377260982,0.8077332051324397,0.6897812713602187,0.8357894736842105,0.7280687994344042,experiment_wavelet_none_for_reduction
Extra Trees,0.7609003127974976,0.7765179901650519,0.694565960355434,0.8147368421052631,0.7203784198741267,experiment_wavelet_none_for_reduction
Gradient Boosting,0.760859513123895,0.7524932109062507,0.7281613123718387,0.7873684210526315,0.7330069562522479,experiment_wavelet_none_for_reduction
Perceptron,0.7551951584387325,0.7274291725168289,0.7820574162679426,0.7326315789473684,0.7310247921501007,experiment_wavelet_none_for_reduction
Random Forest,0.755093159254726,0.7595428213127028,0.694395078605605,0.8042105263157895,0.7144558624779138,experiment_wavelet_none_for_reduction
AdaBoost,0.7527267781857747,0.737453969591956,0.7203007518796991,0.7789473684210526,0.7232680578478268,experiment_wavelet_none_for_reduction
Voting,0.7330205358357134,0.8200537038734452,0.5300068352699931,0.8968421052631579,0.6365629237652193,experiment_wavelet_none_for_reduction
K-Neighbors,0.7294981640146879,0.7193930508594237,0.6818523581681476,0.7684210526315789,0.687758346581876,experiment_wavelet_none_for_reduction
Bagging,0.7189174486604107,0.7142438431134084,0.6445317840054683,0.7789473684210526,0.6703883582960252,experiment_wavelet_none_for_reduction
Decision Tree,0.7003875968992247,0.6681594092995211,0.6679767600820232,0.7263157894736842,0.6641295182622103,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6829253365973071,0.7120064225637998,0.49354066985645934,0.8357894736842105,0.5780960183424173,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.6723786209710323,0.6843769390761414,0.6242652084757347,0.711578947368421,0.6073761994370581,experiment_wavelet_none_for_reduction
Gaussian NB,0.661859105127159,0.6546529977312038,0.5220437457279562,0.7747368421052632,0.5764898649527453,experiment_wavelet_none_for_reduction

