,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
SVC,0.7202434380524956,0.7637396381689132,0.543028024606972,0.8631578947368421,0.6293392794833385,experiment_nonefilter_for_feature_reduction
Logistic Regression,0.7167618659050727,0.7355738111937684,0.5692071086807929,0.8357894736842105,0.6364724758496788,experiment_nonefilter_for_feature_reduction
MLP Classifier,0.714436284509724,0.7175242869597709,0.5901572112098428,0.8147368421052631,0.6443551322456773,experiment_nonefilter_for_feature_reduction
Ridge Classifier,0.7109479124167006,0.7247566543390965,0.5613807245386193,0.8315789473684211,0.6289511948631137,experiment_nonefilter_for_feature_reduction
Linear SVC,0.7074459404324764,0.716006932039078,0.5666438824333561,0.8210526315789473,0.6278629484562988,experiment_nonefilter_for_feature_reduction
Linear Discriminant Analysis,0.7074119407044744,0.71492094664522,0.5717703349282297,0.8168421052631579,0.6292378210025268,experiment_nonefilter_for_feature_reduction
AdaBoost,0.692282061743506,0.6610190383129283,0.6292549555707451,0.743157894736842,0.6421039175265066,experiment_nonefilter_for_feature_reduction
NuSVC,0.689983680130559,0.6814642862365325,0.5586807928913192,0.7957894736842105,0.607670372580354,experiment_nonefilter_for_feature_reduction
K-Neighbors,0.6806201550387596,0.6674046277517879,0.5665755297334245,0.7726315789473683,0.6078733031674208,experiment_nonefilter_for_feature_reduction
Gradient Boosting,0.6771113831089351,0.6488381111918381,0.6058441558441559,0.7347368421052632,0.6232516043140038,experiment_nonefilter_for_feature_reduction
Extra Trees,0.6770773833809328,0.6573933548391753,0.5744019138755981,0.76,0.6107818446411926,experiment_nonefilter_for_feature_reduction
Random Forest,0.6735822113423093,0.6560535433151756,0.5718386876281614,0.7557894736842105,0.605809805767409,experiment_nonefilter_for_feature_reduction
XGBoost,0.6666054671562629,0.6323507953533507,0.6004442925495557,0.72,0.6145731144628639,experiment_nonefilter_for_feature_reduction
Bagging,0.663062695498436,0.6384622197554429,0.5586466165413534,0.7473684210526317,0.5936328671812543,experiment_nonefilter_for_feature_reduction
Voting,0.6573167414660682,0.6823654568210263,0.4283321941216678,0.8421052631578947,0.5207948953458749,experiment_nonefilter_for_feature_reduction
SGD Classifier,0.6514279885760914,0.7394607843137255,0.3622009569377991,0.8842105263157893,0.44089180770919895,experiment_nonefilter_for_feature_reduction
Decision Tree,0.6164762681898545,0.5733052788274362,0.5562542720437458,0.6652631578947369,0.563097433847795,experiment_nonefilter_for_feature_reduction
Gaussian NB,0.6049095607235142,0.5841371753652456,0.562816131237184,0.6378947368421052,0.5278701011719206,experiment_nonefilter_for_feature_reduction
Perceptron,0.5735822113423092,0.6877145528618179,0.5730006835269992,0.5726315789473684,0.4750889270947729,experiment_nonefilter_for_feature_reduction
Passive Aggressive,0.5709642322861417,0.50547980447646,0.34832535885167465,0.7515789473684211,0.33346752348514086,experiment_nonefilter_for_feature_reduction
