,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
SVC,0.7202434380524956,0.7637396381689132,0.543028024606972,0.8631578947368421,0.6293392794833385,experiment_nonefilter_for_feature_reduction
MLP Classifier,0.719080647354821,0.7308304091843278,0.5901913875598086,0.8231578947368421,0.6470398495164489,experiment_nonefilter_for_feature_reduction
Logistic Regression,0.7167618659050727,0.7355738111937684,0.5692071086807929,0.8357894736842105,0.6364724758496788,experiment_nonefilter_for_feature_reduction
Ridge Classifier,0.7109479124167006,0.7247566543390965,0.5613807245386193,0.8315789473684211,0.6289511948631137,experiment_nonefilter_for_feature_reduction
Linear SVC,0.7074459404324764,0.716006932039078,0.5666438824333561,0.8210526315789473,0.6278629484562988,experiment_nonefilter_for_feature_reduction
Linear Discriminant Analysis,0.7074119407044744,0.71492094664522,0.5717703349282297,0.8168421052631579,0.6292378210025268,experiment_nonefilter_for_feature_reduction
AdaBoost,0.692282061743506,0.6610190383129283,0.6292549555707451,0.743157894736842,0.6421039175265066,experiment_nonefilter_for_feature_reduction
NuSVC,0.689983680130559,0.6814642862365325,0.5586807928913192,0.7957894736842105,0.607670372580354,experiment_nonefilter_for_feature_reduction
Random Forest,0.6852237182102543,0.6699644157195903,0.5821941216678058,0.7684210526315789,0.6192703663555862,experiment_nonefilter_for_feature_reduction
K-Neighbors,0.6806201550387596,0.6674046277517879,0.5665755297334245,0.7726315789473683,0.6078733031674208,experiment_nonefilter_for_feature_reduction
Gradient Boosting,0.6771113831089351,0.6488381111918381,0.6058441558441559,0.7347368421052632,0.6232516043140038,experiment_nonefilter_for_feature_reduction
Bagging,0.6747722018223854,0.6512439928564338,0.5614149008885851,0.7663157894736842,0.5968112761283251,experiment_nonefilter_for_feature_reduction
Extra Trees,0.6712294301645587,0.6550662932820804,0.5613807245386193,0.76,0.6007864279864279,experiment_nonefilter_for_feature_reduction
XGBoost,0.6666054671562629,0.6323507953533507,0.6004442925495557,0.72,0.6145731144628639,experiment_nonefilter_for_feature_reduction
SGD Classifier,0.6468312253501972,0.6740208272695154,0.5858851674641148,0.6947368421052631,0.5624378258666878,experiment_nonefilter_for_feature_reduction
Voting,0.6456276349789201,0.6584003981585169,0.420334928229665,0.8273684210526315,0.5100890772995701,experiment_nonefilter_for_feature_reduction
Decision Tree,0.613001495988032,0.569918946507693,0.5432672590567328,0.6694736842105263,0.5539223011760326,experiment_nonefilter_for_feature_reduction
Passive Aggressive,0.6085135318917448,0.6347014818287049,0.6228981544771018,0.5957894736842105,0.5810812685959786,experiment_nonefilter_for_feature_reduction
Gaussian NB,0.6049095607235142,0.5841371753652456,0.562816131237184,0.6378947368421052,0.5278701011719206,experiment_nonefilter_for_feature_reduction
Perceptron,0.5735822113423092,0.6877145528618179,0.5730006835269992,0.5726315789473684,0.4750889270947729,experiment_nonefilter_for_feature_reduction
Bernoulli NB,0.5536107711138311,0.5081313131313132,0.054750512645249494,0.9557894736842105,0.09833942973477856,experiment_nonefilter_for_feature_reduction
Quadratic Discriminant Analysis,0.5419692642458861,0.5267190354402631,0.3222146274777854,0.72,0.340968914484652,experiment_nonefilter_for_feature_reduction
Linear SVC,0.8145586835305318,0.8101779745847543,0.7753246753246753,0.8463157894736841,0.7892475658855845,experiment_wavelet_none
Ridge Classifier,0.8099143206854345,0.8071053532028365,0.7675666438824335,0.8442105263157895,0.7826866492573321,experiment_wavelet_none
MLP Classifier,0.8028831769345846,0.7939925654495347,0.7700956937799043,0.8294736842105263,0.7764918833598673,experiment_wavelet_none
Linear Discriminant Analysis,0.7994220046239631,0.7835338862568919,0.7700615174299384,0.8231578947368421,0.7734598235325192,experiment_wavelet_none
Logistic Regression,0.799422004623963,0.8015449691318756,0.7466848940533151,0.8421052631578947,0.7676150128505979,experiment_wavelet_none
NuSVC,0.7994016047871617,0.8117870960024026,0.7309637730690363,0.8547368421052631,0.7620037109069367,experiment_wavelet_none
SVC,0.783108935128519,0.7961767030188083,0.6996924128503077,0.8505263157894737,0.7383615014561761,experiment_wavelet_none
XGBoost,0.778376172990616,0.7720168867341861,0.7360902255639097,0.8126315789473685,0.7453408029878619,experiment_wavelet_none
Extra Trees,0.7690806473548211,0.7829533568360192,0.6970266575529734,0.8273684210526315,0.7270264188287826,experiment_wavelet_none
Passive Aggressive,0.762124303005576,0.7736704782980353,0.7200273410799726,0.7957894736842105,0.7149320383538033,experiment_wavelet_none
Gradient Boosting,0.7596899224806201,0.7517892771588388,0.7255297334244702,0.7873684210526315,0.7312497526622621,experiment_wavelet_none
Random Forest,0.7562763497892017,0.7612445229762445,0.6917976760082023,0.8084210526315789,0.7151433830231808,experiment_wavelet_none
Perceptron,0.7551951584387325,0.7274291725168289,0.7820574162679426,0.7326315789473684,0.7310247921501007,experiment_wavelet_none
AdaBoost,0.7527267781857747,0.737453969591956,0.7203007518796991,0.7789473684210526,0.7232680578478268,experiment_wavelet_none
Voting,0.7458248334013329,0.8305319990954321,0.5586124401913877,0.8968421052631579,0.6581798343500471,experiment_wavelet_none
Bagging,0.7398884808921529,0.735976217979032,0.6522214627477785,0.8105263157894737,0.689554857637068,experiment_wavelet_none
K-Neighbors,0.7294981640146879,0.7193930508594237,0.6818523581681476,0.7684210526315789,0.687758346581876,experiment_wavelet_none
SGD Classifier,0.7271929824561404,0.7119332580269276,0.8429938482570062,0.6336842105263158,0.7446331200399344,experiment_wavelet_none
Decision Tree,0.6968992248062016,0.6642951604812071,0.6524948735475051,0.7326315789473684,0.656725163712107,experiment_wavelet_none
Bernoulli NB,0.6829253365973071,0.7120064225637998,0.49354066985645934,0.8357894736842105,0.5780960183424173,experiment_wavelet_none
Quadratic Discriminant Analysis,0.6723786209710323,0.6843769390761414,0.6242652084757347,0.711578947368421,0.6073761994370581,experiment_wavelet_none
Gaussian NB,0.661859105127159,0.6546529977312038,0.5220437457279562,0.7747368421052632,0.5764898649527453,experiment_wavelet_none

,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
MLP Classifier,0.713266693866449,0.7132907221075432,0.5874914559125086,0.8147368421052631,0.6401621555020249,experiment_nonefilter_for_feature_reduction
SVC,0.7109275125798993,0.7507762492271064,0.5273410799726589,0.8589473684210527,0.6148173867727332,experiment_nonefilter_for_feature_reduction
Ridge Classifier,0.7062831497348021,0.7246696212317377,0.5431305536568696,0.8378947368421052,0.6159894712549128,experiment_nonefilter_for_feature_reduction
Linear Discriminant Analysis,0.7039643682850537,0.7129609038031877,0.5509911141490089,0.8273684210526315,0.6164841377826117,experiment_nonefilter_for_feature_reduction
Logistic Regression,0.7039439684482525,0.7242296045935224,0.5378673957621326,0.8378947368421052,0.6114008615405478,experiment_nonefilter_for_feature_reduction
Linear SVC,0.7028015775873794,0.7138145967133704,0.5484278879015722,0.8273684210526315,0.615914816808832,experiment_nonefilter_for_feature_reduction
Gradient Boosting,0.6899292805657554,0.669527763046587,0.6032125768967875,0.76,0.6296108699808369,experiment_nonefilter_for_feature_reduction
AdaBoost,0.6899088807289541,0.6657328594828595,0.6161312371838689,0.7494736842105263,0.6368320786916117,experiment_nonefilter_for_feature_reduction
Random Forest,0.6898952808377533,0.6658846111935357,0.6188995215311005,0.7473684210526317,0.6376548998566915,experiment_nonefilter_for_feature_reduction
Extra Trees,0.6852305181558548,0.667930927681567,0.5874572795625428,0.7642105263157895,0.6211684435233742,experiment_nonefilter_for_feature_reduction
NuSVC,0.6701346389228886,0.6514194095146476,0.5506835269993166,0.7663157894736842,0.5885243326870535,experiment_nonefilter_for_feature_reduction
K-Neighbors,0.6585067319461444,0.6264331046312178,0.561449077238551,0.7368421052631579,0.5895223215564922,experiment_nonefilter_for_feature_reduction
Voting,0.6584727322181423,0.6742103933573989,0.44644565960355437,0.8294736842105263,0.5346386596649162,experiment_nonefilter_for_feature_reduction
XGBoost,0.6584115327077384,0.619633229237749,0.6030075187969924,0.7031578947368422,0.6092005935707128,experiment_nonefilter_for_feature_reduction
Bagging,0.657296341629267,0.642045363414466,0.5196514012303486,0.768421052631579,0.5720789048461756,experiment_nonefilter_for_feature_reduction
Perceptron,0.6038215694274446,0.766604400166044,0.4227956254272044,0.7494736842105263,0.4258291596296081,experiment_nonefilter_for_feature_reduction
Gaussian NB,0.6025975792193663,0.5547976774875789,0.6382433356117566,0.5726315789473684,0.5400590541601271,experiment_nonefilter_for_feature_reduction
Decision Tree,0.5990276077791378,0.5506935229449166,0.5456596035543404,0.6421052631578947,0.5474071928314206,experiment_nonefilter_for_feature_reduction
SGD Classifier,0.5946008431932543,0.6108630772333131,0.6575187969924812,0.5431578947368422,0.5585971690402859,experiment_nonefilter_for_feature_reduction
Passive Aggressive,0.5884876920984631,0.6730810855810856,0.3092617908407382,0.8147368421052631,0.32987553920944485,experiment_nonefilter_for_feature_reduction
Bernoulli NB,0.5524411804705561,0.49979797979797985,0.054750512645249494,0.9536842105263158,0.0981713625078878,experiment_nonefilter_for_feature_reduction
Quadratic Discriminant Analysis,0.507092343261254,0.374756806288654,0.7059808612440193,0.3452631578947368,0.48815667345088637,experiment_nonefilter_for_feature_reduction
Ridge Classifier,0.8017679858561131,0.8151630262079422,0.7231032125768968,0.8652631578947367,0.7647944910598536,experiment_wavelet_none
Linear SVC,0.7994016047871618,0.7984672815107597,0.7439166097060834,0.8442105263157895,0.7688287967740022,experiment_wavelet_none
Linear Discriminant Analysis,0.7982524139806881,0.8057525172011349,0.7282296650717702,0.8547368421052631,0.7633036667184894,experiment_wavelet_none
NuSVC,0.7900516795865633,0.7979674510535616,0.7282638414217362,0.8400000000000001,0.7578821224147904,experiment_wavelet_none
MLP Classifier,0.7854345165238679,0.7819444444444444,0.7283321941216678,0.8315789473684211,0.7524857294490681,experiment_wavelet_none
Logistic Regression,0.7842853257173943,0.8101938117731834,0.683937115516063,0.8652631578947367,0.7385131612969402,experiment_wavelet_none
Gradient Boosting,0.7713586291309669,0.7644547211738223,0.7307587149692413,0.8042105263157895,0.7393097371251834,experiment_wavelet_none
Random Forest,0.7667482660138719,0.7707186686260487,0.7021872863978128,0.8189473684210526,0.7287456825499984,experiment_wavelet_none
SVC,0.7667210662314702,0.7871641151641152,0.6681134654818865,0.8463157894736841,0.7191997592969473,experiment_wavelet_none
XGBoost,0.7538963688290493,0.7426941388743379,0.7099111414900887,0.7894736842105263,0.7210827156174607,experiment_wavelet_none
Extra Trees,0.7469196246430028,0.7593110683685959,0.6788448393711553,0.8021052631578947,0.706239891775023,experiment_wavelet_none
Voting,0.744607643138855,0.8259522657635865,0.5507177033492823,0.9010526315789473,0.6578903873112264,experiment_wavelet_none
AdaBoost,0.744546443628451,0.7119448810366964,0.7358168147641833,0.751578947368421,0.7214496542512305,experiment_wavelet_none
Passive Aggressive,0.727233782129743,0.7365729368670545,0.6999658236500342,0.7494736842105263,0.6790366042994279,experiment_wavelet_none
Bagging,0.7212906296749626,0.7228762333621669,0.6263157894736842,0.7978947368421052,0.6649983216628709,experiment_wavelet_none
Quadratic Discriminant Analysis,0.719033047735618,0.7201022859242038,0.6136363636363636,0.8042105263157895,0.6570628805968115,experiment_wavelet_none
SGD Classifier,0.6770025839793282,0.6361920692866126,0.8330143540669857,0.5515789473684211,0.7012908016557651,experiment_wavelet_none
K-Neighbors,0.6700258397932816,0.6575646178924484,0.561244019138756,0.7578947368421053,0.601985898857087,experiment_wavelet_none
Perceptron,0.6654086767305862,0.7816440821398348,0.5464456596035543,0.76,0.5423508733137193,experiment_wavelet_none
Decision Tree,0.6641370869033046,0.6331017986988137,0.6344155844155843,0.6884210526315789,0.6308408818121416,experiment_wavelet_none
Gaussian NB,0.6537059703522372,0.6468175339284794,0.49593301435406695,0.7810526315789474,0.5569635820275206,experiment_wavelet_none
Bernoulli NB,0.5722154222766218,0.60015664160401,0.13024606971975394,0.9284210526315789,0.21075478119006244,experiment_wavelet_none
