,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Ridge Classifier,0.8064395484836121,0.8117500940138449,0.7493848257006152,0.8526315789473685,0.7747627045570916,experiment_nonefilter_for_feature_reduction
MLP Classifier,0.7993948048415612,0.7846026388546713,0.7621667805878332,0.8294736842105264,0.7691126829622361,experiment_nonefilter_for_feature_reduction
NuSVC,0.7947232422140623,0.7969078417999794,0.7360902255639097,0.8421052631578947,0.759237002003153,experiment_nonefilter_for_feature_reduction
Logistic Regression,0.790092479260166,0.7858116796724393,0.7361585782638415,0.8336842105263157,0.7570495851989889,experiment_nonefilter_for_feature_reduction
SVC,0.784251325989392,0.7943223549985428,0.7101161995898838,0.8442105263157895,0.7438138791280164,experiment_nonefilter_for_feature_reduction
XGBoost,0.7725146198830408,0.7635750883576969,0.7281271360218728,0.8084210526315789,0.7404416387470839,experiment_nonefilter_for_feature_reduction
Extra Trees,0.7655990752073984,0.7803769379844961,0.681373889268626,0.8336842105263157,0.7188991681291222,experiment_nonefilter_for_feature_reduction
Gradient Boosting,0.7631850945192438,0.7595523032179379,0.7203007518796992,0.7978947368421052,0.7309278374244412,experiment_nonefilter_for_feature_reduction
Random Forest,0.7585815313477491,0.7734817191829824,0.683902939166097,0.8189473684210526,0.7157923492170003,experiment_nonefilter_for_feature_reduction
Passive Aggressive,0.7551611587107303,0.8489975994839419,0.5848940533151059,0.8926315789473683,0.6550960460657995,experiment_nonefilter_for_feature_reduction
AdaBoost,0.7527471780225758,0.7369134450565531,0.728298017771702,0.7726315789473684,0.725566349419485,experiment_nonefilter_for_feature_reduction
Voting,0.7481640146878825,0.8318122108355801,0.5533834586466165,0.905263157894737,0.6584758348629374,experiment_nonefilter_for_feature_reduction
SGD Classifier,0.7470148238814088,0.8620652173913044,0.5457963089542037,0.9094736842105263,0.6386776572884182,experiment_nonefilter_for_feature_reduction
Perceptron,0.7412076703386373,0.7138642665901702,0.7958304853041696,0.6968421052631578,0.7344107875708422,experiment_nonefilter_for_feature_reduction
Bagging,0.7399020807833538,0.7440750038399451,0.6575871496924128,0.8063157894736841,0.6885177672129286,experiment_nonefilter_for_feature_reduction
K-Neighbors,0.7282673738610091,0.7128723719597999,0.6946001367053999,0.7557894736842106,0.6950856647115076,experiment_nonefilter_for_feature_reduction
Quadratic Discriminant Analysis,0.7178226574187406,0.7384996077530012,0.5979835953520165,0.8147368421052631,0.6486123017482314,experiment_nonefilter_for_feature_reduction
Decision Tree,0.6957160342717259,0.6529185704570055,0.678468899521531,0.7094736842105263,0.6628973187178422,experiment_nonefilter_for_feature_reduction
Bernoulli NB,0.6817625458996328,0.7095209651338684,0.49354066985645934,0.8336842105263159,0.5771159328455974,experiment_nonefilter_for_feature_reduction
Gaussian NB,0.6676934584523323,0.6717296580467936,0.5221462747778537,0.7852631578947368,0.5824566836473994,experiment_nonefilter_for_feature_reduction
Linear SVC,0.7842241262069903,0.7826254609587943,0.7335611756664389,0.8252631578947369,0.7507155010542675,experiment_wavelet_butter
Ridge Classifier,0.7830817353461171,0.7842502781433162,0.7284347231715653,0.8273684210526315,0.7483073388444232,experiment_wavelet_butter
Linear Discriminant Analysis,0.7807289541683666,0.7607763787219295,0.7649008885850992,0.7936842105263158,0.7553109296156921,experiment_wavelet_butter
MLP Classifier,0.7749354005167958,0.775126399422174,0.7022214627477785,0.8336842105263159,0.7310709933501561,experiment_wavelet_butter
XGBoost,0.7691282469740243,0.7559419542129788,0.7257347915242652,0.8042105263157895,0.7355947577743505,experiment_wavelet_butter
NuSVC,0.7644702842377262,0.7476052080703244,0.7207108680792892,0.8,0.7285187418753362,experiment_wavelet_butter
SVC,0.7632870937032504,0.767059715059715,0.6840396445659603,0.8273684210526315,0.718621201799199,experiment_wavelet_butter
Logistic Regression,0.7562899496804026,0.7520514799665743,0.6866370471633629,0.8126315789473685,0.7138191140199258,experiment_wavelet_butter
Extra Trees,0.7504963960288318,0.7526382328862018,0.6684552289815449,0.8168421052631578,0.7012882996489553,experiment_wavelet_butter
Gradient Boosting,0.7388004895960834,0.7121185924040518,0.6995898838004101,0.7705263157894736,0.7030259557109096,experiment_wavelet_butter
Random Forest,0.7376648986808105,0.7418349750016173,0.6580656185919344,0.8021052631578947,0.6896199287765103,experiment_wavelet_butter
Passive Aggressive,0.7376444988440093,0.7451720918252358,0.706801093643199,0.7621052631578946,0.6980091746656452,experiment_wavelet_butter
AdaBoost,0.7190262477900176,0.6885170498559751,0.6864319890635681,0.7452631578947368,0.6844380727785239,experiment_wavelet_butter
SGD Classifier,0.7177546579627363,0.7728630693564564,0.6481203007518797,0.7747368421052633,0.6630777948471611,experiment_wavelet_butter
Voting,0.7121243030055759,0.7797459227779594,0.49876965140123036,0.8842105263157893,0.606193599623269,experiment_wavelet_butter
Bagging,0.7039031687746498,0.7003573119744113,0.6084757347915243,0.7810526315789474,0.6453419914195533,experiment_wavelet_butter
K-Neighbors,0.6945940432476541,0.6701164029592214,0.6268284347231716,0.7494736842105263,0.643998757042971,experiment_wavelet_butter
Perceptron,0.6923160614715083,0.6985419156646746,0.6779904306220095,0.7031578947368422,0.6541137615704462,experiment_wavelet_butter
Quadratic Discriminant Analysis,0.6886644906840745,0.6644529111742449,0.6579972658920028,0.7136842105263158,0.6518821794021042,experiment_wavelet_butter
Gaussian NB,0.6572011423908609,0.6521519225395687,0.5247778537252221,0.7642105263157895,0.5781792970921846,experiment_wavelet_butter
Decision Tree,0.6537739698082417,0.6082237302926958,0.6370471633629529,0.6673684210526315,0.6203851372961653,experiment_wavelet_butter
Bernoulli NB,0.5583095335237317,0.5442214790040877,0.09145591250854408,0.9347368421052631,0.1539894557248036,experiment_wavelet_butter
