,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear SVC,0.8145586835305318,0.8101779745847543,0.7753246753246753,0.8463157894736841,0.7892475658855845,experiment_wavelet_none_for_reduction
Ridge Classifier,0.8099143206854345,0.8071053532028365,0.7675666438824335,0.8442105263157895,0.7826866492573321,experiment_wavelet_none_for_reduction
MLP Classifier,0.8029035767713857,0.799334579329654,0.7623376623376623,0.8357894736842105,0.7726531824162096,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.7994220046239631,0.7835338862568919,0.7700615174299384,0.8231578947368421,0.7734598235325192,experiment_wavelet_none_for_reduction
Logistic Regression,0.799422004623963,0.8015449691318756,0.7466848940533151,0.8421052631578947,0.7676150128505979,experiment_wavelet_none_for_reduction
NuSVC,0.7994016047871617,0.8117870960024026,0.7309637730690363,0.8547368421052631,0.7620037109069367,experiment_wavelet_none_for_reduction
SVC,0.783108935128519,0.7961767030188083,0.6996924128503077,0.8505263157894737,0.7383615014561761,experiment_wavelet_none_for_reduction
XGBoost,0.778376172990616,0.7720168867341861,0.7360902255639097,0.8126315789473685,0.7453408029878619,experiment_wavelet_none_for_reduction
Extra Trees,0.7621039031687747,0.7685410525166503,0.691866028708134,0.8189473684210526,0.7181836006416511,experiment_wavelet_none_for_reduction
Random Forest,0.759764721882225,0.7690819389976481,0.6943950786056049,0.8126315789473683,0.7188297842320079,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7596899224806201,0.7517892771588388,0.7255297334244702,0.7873684210526315,0.7312497526622621,experiment_wavelet_none_for_reduction
Perceptron,0.7551951584387325,0.7274291725168289,0.7820574162679426,0.7326315789473684,0.7310247921501007,experiment_wavelet_none_for_reduction
AdaBoost,0.7527267781857747,0.737453969591956,0.7203007518796991,0.7789473684210526,0.7232680578478268,experiment_wavelet_none_for_reduction
Passive Aggressive,0.7433496532027745,0.7915430740853652,0.6674982911825017,0.8042105263157895,0.6561615039782758,experiment_wavelet_none_for_reduction
Voting,0.7306881544947641,0.811395243295987,0.5325700615174299,0.8905263157894735,0.6356751422119148,experiment_wavelet_none_for_reduction
K-Neighbors,0.7294981640146879,0.7193930508594237,0.6818523581681476,0.7684210526315789,0.687758346581876,experiment_wavelet_none_for_reduction
Bagging,0.7294437644498843,0.7327110326376958,0.6341421736158579,0.8063157894736841,0.6740286707780214,experiment_wavelet_none_for_reduction
SGD Classifier,0.7132734938120494,0.8358329758102532,0.5203349282296651,0.8694736842105263,0.5889041032573303,experiment_wavelet_none_for_reduction
Decision Tree,0.6934108527131783,0.6652356547980455,0.6367395762132605,0.7389473684210526,0.6481869229746303,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6829253365973071,0.7120064225637998,0.49354066985645934,0.8357894736842105,0.5780960183424173,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.6723786209710323,0.6843769390761414,0.6242652084757347,0.711578947368421,0.6073761994370581,experiment_wavelet_none_for_reduction
Gaussian NB,0.661859105127159,0.6546529977312038,0.5220437457279562,0.7747368421052632,0.5764898649527453,experiment_wavelet_none_for_reduction

