,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
MLP Classifier,0.7877464980280158,0.7937363031829308,0.7309979494190021,0.8336842105263157,0.7542312150040096,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.7865905072759418,0.788053277568203,0.7257006151742994,0.8357894736842105,0.7524701707398125,experiment_wavelet_none_for_reduction
Passive Aggressive,0.7854957160342717,0.8018562140567935,0.7096719070403281,0.8463157894736841,0.7405755635183635,experiment_wavelet_none_for_reduction
Linear SVC,0.785420916632667,0.7758782776815564,0.7439507860560491,0.8189473684210526,0.7562014043834796,experiment_wavelet_none_for_reduction
NuSVC,0.7853801169590644,0.7961539424461759,0.7178058783321942,0.8400000000000001,0.7506091322003015,experiment_wavelet_none_for_reduction
Ridge Classifier,0.7819121447028424,0.7695450835495008,0.7465823650034176,0.8105263157894737,0.7543728846404433,experiment_wavelet_none_for_reduction
SVC,0.7690738474092207,0.7679712083679252,0.7073820915926179,0.8189473684210526,0.7329050252339435,experiment_wavelet_none_for_reduction
SGD Classifier,0.7680334557323543,0.7566594773054172,0.7304853041695147,0.7978947368421052,0.7314535404062538,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7631442948456412,0.7557840638209117,0.7358509911141491,0.7852631578947368,0.7403701190727132,experiment_wavelet_none_for_reduction
Logistic Regression,0.7586019311845507,0.7436671664167916,0.7178742310321258,0.791578947368421,0.7266482946023329,experiment_wavelet_none_for_reduction
XGBoost,0.7573983408132735,0.7381004885703814,0.7333902939166097,0.7768421052631579,0.7314155683191993,experiment_wavelet_none_for_reduction
Extra Trees,0.744594043247654,0.7372165912759973,0.702323991797676,0.7789473684210526,0.7122219105878742,experiment_wavelet_none_for_reduction
Random Forest,0.7434312525499795,0.7441881263688856,0.6839029391660971,0.791578947368421,0.7047386715022552,experiment_wavelet_none_for_reduction
AdaBoost,0.7411260709914321,0.7257506171674765,0.7179425837320574,0.76,0.7156385987486582,experiment_wavelet_none_for_reduction
Voting,0.7341425268597851,0.8028901799954431,0.561244019138756,0.873684210526316,0.6530273219123087,experiment_wavelet_none_for_reduction
K-Neighbors,0.7224942200462396,0.6928068335626476,0.7024948735475052,0.7389473684210526,0.691736549745108,experiment_wavelet_none_for_reduction
Bagging,0.7212362301101592,0.7272734948723334,0.6472317156527683,0.7810526315789474,0.6757173950126114,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6817557459540323,0.7181483962692512,0.47785372522214625,0.8463157894736841,0.5692575256575558,experiment_wavelet_none_for_reduction
Decision Tree,0.6793485652114782,0.6354434089972376,0.6733766233766234,0.6842105263157896,0.6513648169009956,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.6758805929552564,0.6931879659245388,0.5691729323308271,0.7621052631578948,0.6050122564833801,experiment_wavelet_none_for_reduction
Perceptron,0.6749014007887937,0.709417830597076,0.7130211893369788,0.6442105263157896,0.6532863732095227,experiment_wavelet_none_for_reduction
Gaussian NB,0.6735142118863049,0.677567000164015,0.5246069719753931,0.7936842105263158,0.5845060657535998,experiment_wavelet_none_for_reduction
